feature,index,weight
tonal.hpcp.median[23].original,378,0.027801692974787285
tonal.hpcp.median[24].original,379,0.05977405994697599
tonal.hpcp.median[26].original,380,0.04131974021178706
tonal.hpcp.median[27].original,381,0.06693437841116193
tonal.hpcp.median[29].original,382,0.06670453131196676
tonal.hpcp.median[30].original,383,0.027801692974787285
tonal.hpcp.median[32].original,384,0.027801692974787285
tonal.hpcp.median[33].original,385,0.05821966541370501
tonal.hpcp.median[35].original,386,0.05174111114491046
tonal.hpcp.median[36].original,387,0.044078658701323874
tonal.hpcp.var[10].original,388,0.026795978542166483
tonal.hpcp.var[16].original,389,0.027801692974787285
tonal.hpcp.var[31].original,390,0.027801692974787285
tonal.thpcp[2].original,391,0.06558229276735253
tonal.thpcp[3].original,392,0.12937885066948845
tonal.thpcp[8].original,393,0.027801692974787285
tonal.thpcp[9].original,394,0.04751979794581566
tonal.thpcp[12].original,395,0.05232220749275623
tonal.thpcp[14].original,396,0.027801692974787285
tonal.thpcp[15].original,397,0.026795978542166483
tonal.thpcp[17].original,398,0.026795978542166483
tonal.thpcp[19].original,399,0.09491262067088825
tonal.thpcp[21].original,400,0.027801692974787285
tonal.thpcp[23].original,401,0.027801692974787285
tonal.thpcp[26].original,402,0.04658962103513957
tonal.thpcp[27].original,403,0.027801692974787285
tonal.thpcp[30].original,404,0.027801692974787285
tonal.thpcp[32].original,405,0.027801692974787285
tonal.thpcp[33].original,406,0.09623819419360821
tonal.thpcp[36].original,407,0.027801692974787285
tonal.chords_key.original,408,0.026795978542166483
tonal.chords_scale.original,409,0.027801692974787285
tonal.key_edma.key.original,410,0.026795978542166483
tonal.key_temperley.scale.original,411,0.02880740740740809
