feature,index,weight,rank
lowlevel.spectral_kurtosis.min.accompaniment,54,0.002661375724686525,*
tonal.hpcp.median[24].accompaniment,367,0.002661375724686525,*
tonal.hpcp.kurt[12].accompaniment,341,0.002661375724686525,*
lowlevel.barkbands.skew[10].accompaniment,83,0.002661375724686525,*
lowlevel.barkbands.max[21].accompaniment,80,0.002661375724686525,*
lowlevel.melbands.kurt[2].accompaniment,152,0.002661375724686525,*
tonal.hpcp.median[11].accompaniment,359,0.002661375724686525,*
tonal.tuning_diatonic_strength.accompaniment,73,0.002661375724686525,*
lowlevel.erbbands.max[31].accompaniment,93,0.002661375724686525,*
tonal.hpcp.median[21].accompaniment,365,0.002661375724686525,*
lowlevel.melbands.kurt[37].accompaniment,153,0.002661375724686525,*
tonal.tuning_frequency.accompaniment,75,0.002661375724686525,*
tonal.hpcp.median[15].accompaniment,362,0.002661375724686525,*
lowlevel.barkbands.max[9].accompaniment,77,0.002661375724686525,*
lowlevel.barkbands.max[11].accompaniment,78,0.002661375724686525,*
tonal.hpcp.kurt[14].accompaniment,342,0.002661375724686525,*
tonal.hpcp.median[17].accompaniment,363,0.002661375724686525,*
lowlevel.erbbands.var[26].accompaniment,104,0.002661375724686525,*
lowlevel.gfcc.skew[6].accompaniment,143,0.002661375724686525,*
tonal.hpcp.kurt[33].accompaniment,356,0.002661375724686525,*
tonal.hpcp.median[23].accompaniment,366,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.skew[4].accompaniment,281,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.skew[1].accompaniment,278,0.0021717873405535026,*
tonal.hpcp.kurt[22].accompaniment,348,0.0021717873405535026,*
tonal.hpcp.kurt[26].accompaniment,351,0.0021717873405535026,*
tonal.hpcp.kurt[25].accompaniment,350,0.0021717873405535026,*
tonal.hpcp.kurt[24].accompaniment,349,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.skew[3].accompaniment,280,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[6].accompaniment,277,0.0021717873405535026,*
tonal.hpcp.kurt[30].accompaniment,354,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[5].accompaniment,276,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[4].accompaniment,275,0.0021717873405535026,*
tonal.hpcp.kurt[27].accompaniment,352,0.0021717873405535026,*
tonal.hpcp.kurt[28].accompaniment,353,0.0021717873405535026,*
tonal.hpcp.kurt[19].accompaniment,346,0.0021717873405535026,*
tonal.chords_key.accompaniment,392,0.0021717873405535026,*
tonal.hpcp.kurt[32].accompaniment,355,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[3].accompaniment,274,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[2].accompaniment,273,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.min[1].accompaniment,272,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.kurt[6].accompaniment,267,0.0021717873405535026,*
tonal.hpcp.kurt[34].accompaniment,357,0.0021717873405535026,*
tonal.hpcp.kurt[36].accompaniment,358,0.0021717873405535026,*
tonal.chords_scale.accompaniment,393,0.0021717873405535026,*
tonal.hpcp.kurt[20].accompaniment,347,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.kurt[1].accompaniment,293,0.0021717873405535026,*
tonal.hpcp.kurt[18].accompaniment,345,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.min[3].accompaniment,306,0.0021717873405535026,*
tonal.chords_histogram[21].accompaniment,324,0.0021717873405535026,*
tonal.chords_histogram[20].accompaniment,323,0.0021717873405535026,*
tonal.chords_histogram[18].accompaniment,322,0.0021717873405535026,*
tonal.chords_histogram[17].accompaniment,321,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.median[4].accompaniment,303,0.0021717873405535026,*
