numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
880,346.503,61.147,0.159,0.087,0.651,0.045,0.649,0.046,0.651,0.045,0.651,0.045,0.655,0.046,0.651,0.045,0.651,0.045
890,357.587,63.501,0.165,0.087,0.651,0.046,0.648,0.047,0.651,0.046,0.651,0.046,0.655,0.048,0.651,0.046,0.651,0.046
900,362.769,63.238,0.167,0.091,0.651,0.049,0.648,0.050,0.651,0.049,0.651,0.049,0.655,0.051,0.651,0.049,0.651,0.049
910,371.757,64.805,0.168,0.090,0.655,0.046,0.653,0.046,0.655,0.046,0.655,0.046,0.660,0.047,0.655,0.046,0.655,0.046
920,377.711,65.852,0.170,0.092,0.658,0.049,0.656,0.049,0.658,0.049,0.658,0.049,0.663,0.050,0.658,0.049,0.658,0.049
930,384.089,66.766,0.174,0.090,0.654,0.049,0.652,0.050,0.654,0.049,0.654,0.049,0.659,0.051,0.654,0.049,0.654,0.049
940,394.252,69.336,0.175,0.093,0.656,0.051,0.653,0.052,0.656,0.051,0.656,0.051,0.660,0.053,0.656,0.051,0.656,0.051
950,403.015,71.027,0.176,0.096,0.655,0.051,0.653,0.052,0.655,0.051,0.655,0.051,0.660,0.053,0.655,0.051,0.656,0.051
960,409.810,71.115,0.180,0.095,0.654,0.049,0.651,0.050,0.654,0.049,0.654,0.049,0.658,0.051,0.654,0.049,0.654,0.049
970,416.146,73.217,0.182,0.096,0.653,0.050,0.650,0.051,0.653,0.050,0.653,0.050,0.657,0.053,0.653,0.050,0.653,0.050
