numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
84,0.078,0.010,0.013,0.002,0.667,0.034,0.664,0.032,0.667,0.034,0.667,0.034,0.676,0.035,0.667,0.034,0.662,0.033
85,0.075,0.012,0.013,0.003,0.669,0.037,0.666,0.036,0.669,0.037,0.669,0.037,0.678,0.038,0.669,0.037,0.664,0.037
86,0.074,0.011,0.012,0.003,0.668,0.036,0.665,0.035,0.668,0.036,0.668,0.036,0.676,0.037,0.668,0.036,0.663,0.035
87,0.073,0.009,0.012,0.003,0.667,0.036,0.664,0.035,0.667,0.036,0.667,0.036,0.675,0.037,0.667,0.036,0.662,0.035
88,0.077,0.011,0.013,0.003,0.667,0.035,0.663,0.034,0.667,0.035,0.667,0.035,0.674,0.036,0.667,0.035,0.661,0.035
89,0.081,0.011,0.013,0.003,0.667,0.036,0.664,0.035,0.667,0.036,0.667,0.036,0.674,0.037,0.667,0.036,0.662,0.035
90,0.080,0.010,0.013,0.003,0.665,0.038,0.662,0.037,0.665,0.038,0.665,0.038,0.673,0.038,0.665,0.038,0.660,0.037
91,0.079,0.012,0.013,0.003,0.665,0.037,0.662,0.036,0.665,0.037,0.665,0.037,0.673,0.037,0.665,0.037,0.660,0.036
92,0.086,0.010,0.014,0.002,0.666,0.037,0.663,0.035,0.666,0.037,0.666,0.037,0.674,0.037,0.666,0.037,0.661,0.036
93,0.091,0.007,0.014,0.002,0.668,0.036,0.664,0.035,0.668,0.036,0.668,0.036,0.674,0.036,0.668,0.036,0.662,0.036
94,0.086,0.011,0.014,0.003,0.669,0.036,0.664,0.035,0.669,0.036,0.669,0.036,0.674,0.036,0.669,0.036,0.663,0.035
95,0.088,0.011,0.014,0.003,0.668,0.037,0.664,0.036,0.668,0.037,0.668,0.037,0.674,0.036,0.668,0.037,0.662,0.036
96,0.074,0.011,0.013,0.003,0.666,0.039,0.662,0.037,0.666,0.039,0.666,0.039,0.672,0.039,0.666,0.039,0.660,0.038
97,0.080,0.010,0.013,0.003,0.666,0.039,0.662,0.037,0.666,0.039,0.666,0.039,0.673,0.039,0.666,0.039,0.660,0.038
98,0.075,0.011,0.013,0.003,0.665,0.038,0.660,0.037,0.665,0.038,0.665,0.038,0.671,0.038,0.665,0.038,0.659,0.037
99,0.077,0.011,0.013,0.003,0.664,0.038,0.660,0.036,0.664,0.038,0.664,0.038,0.671,0.038,0.664,0.038,0.658,0.037
100,0.080,0.010,0.013,0.003,0.664,0.040,0.660,0.038,0.664,0.040,0.664,0.040,0.670,0.040,0.664,0.040,0.658,0.039
110,0.093,0.010,0.015,0.003,0.667,0.040,0.663,0.039,0.667,0.040,0.667,0.040,0.674,0.041,0.667,0.040,0.661,0.039
120,0.090,0.012,0.014,0.003,0.667,0.043,0.662,0.042,0.667,0.043,0.667,0.043,0.672,0.043,0.667,0.043,0.661,0.042
122,0.088,0.011,0.013,0.002,0.666,0.043,0.661,0.041,0.666,0.043,0.666,0.043,0.671,0.043,0.666,0.043,0.660,0.042
