numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
29,0.047,0.008,0.009,0.002,0.564,0.054,0.563,0.053,0.564,0.054,0.564,0.054,0.570,0.053,0.564,0.054,0.564,0.054
30,0.053,0.009,0.011,0.002,0.565,0.052,0.564,0.052,0.565,0.052,0.565,0.052,0.571,0.053,0.565,0.052,0.565,0.052
31,0.052,0.008,0.011,0.002,0.570,0.054,0.568,0.053,0.570,0.054,0.570,0.054,0.574,0.054,0.570,0.054,0.570,0.054
32,0.036,0.007,0.008,0.002,0.576,0.052,0.575,0.051,0.576,0.052,0.576,0.052,0.582,0.054,0.576,0.052,0.576,0.052
33,0.037,0.008,0.009,0.002,0.578,0.052,0.577,0.051,0.578,0.052,0.578,0.052,0.584,0.053,0.578,0.052,0.578,0.052
34,0.040,0.008,0.009,0.002,0.582,0.053,0.580,0.052,0.582,0.053,0.582,0.053,0.588,0.053,0.582,0.053,0.582,0.053
35,0.038,0.008,0.009,0.002,0.581,0.053,0.579,0.052,0.581,0.053,0.581,0.053,0.587,0.053,0.581,0.053,0.581,0.053
36,0.042,0.007,0.009,0.002,0.581,0.053,0.579,0.053,0.581,0.053,0.581,0.053,0.586,0.054,0.581,0.053,0.581,0.053
37,0.041,0.008,0.010,0.002,0.586,0.054,0.584,0.053,0.586,0.054,0.586,0.054,0.591,0.054,0.586,0.054,0.586,0.054
38,0.042,0.008,0.009,0.002,0.586,0.056,0.584,0.056,0.586,0.056,0.586,0.056,0.591,0.057,0.586,0.056,0.586,0.056
39,0.049,0.007,0.011,0.002,0.587,0.054,0.585,0.054,0.587,0.054,0.587,0.054,0.592,0.055,0.587,0.054,0.587,0.054
40,0.045,0.008,0.009,0.002,0.591,0.054,0.589,0.054,0.591,0.054,0.591,0.054,0.596,0.055,0.591,0.054,0.591,0.054
41,0.046,0.009,0.010,0.002,0.589,0.053,0.588,0.053,0.589,0.053,0.589,0.053,0.594,0.053,0.589,0.053,0.589,0.053
42,0.046,0.009,0.010,0.002,0.593,0.053,0.591,0.052,0.593,0.053,0.593,0.053,0.599,0.053,0.593,0.053,0.593,0.053
43,0.045,0.008,0.009,0.002,0.592,0.054,0.590,0.054,0.592,0.054,0.592,0.054,0.597,0.054,0.592,0.054,0.592,0.054
44,0.044,0.009,0.009,0.002,0.598,0.052,0.596,0.052,0.598,0.052,0.598,0.052,0.604,0.053,0.598,0.052,0.598,0.052
45,0.048,0.010,0.010,0.002,0.601,0.054,0.599,0.054,0.601,0.054,0.601,0.054,0.607,0.054,0.601,0.054,0.601,0.054
46,0.048,0.009,0.010,0.002,0.601,0.053,0.599,0.053,0.601,0.053,0.601,0.053,0.607,0.054,0.601,0.053,0.601,0.053
47,0.050,0.009,0.010,0.002,0.600,0.053,0.599,0.052,0.600,0.053,0.600,0.053,0.607,0.054,0.600,0.053,0.600,0.053
