numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
650,1.580,0.516,0.146,0.047,0.701,0.049,0.700,0.050,0.701,0.049,0.701,0.049,0.709,0.049,0.701,0.049,0.701,0.049
660,1.731,0.760,0.147,0.069,0.702,0.049,0.701,0.050,0.702,0.049,0.702,0.049,0.709,0.049,0.702,0.049,0.701,0.049
670,1.970,0.941,0.159,0.079,0.703,0.049,0.702,0.050,0.703,0.049,0.703,0.049,0.711,0.049,0.703,0.049,0.703,0.049
680,1.958,0.969,0.156,0.071,0.704,0.049,0.703,0.050,0.704,0.049,0.704,0.049,0.711,0.049,0.704,0.049,0.704,0.049
690,1.817,0.522,0.164,0.063,0.705,0.050,0.704,0.050,0.705,0.050,0.705,0.050,0.712,0.050,0.705,0.050,0.704,0.050
700,1.966,0.494,0.174,0.055,0.704,0.049,0.703,0.050,0.704,0.049,0.704,0.049,0.712,0.049,0.704,0.049,0.704,0.049
710,1.948,0.632,0.163,0.070,0.701,0.050,0.700,0.051,0.701,0.050,0.701,0.050,0.708,0.050,0.701,0.050,0.701,0.050
720,2.021,0.524,0.180,0.074,0.700,0.049,0.699,0.050,0.700,0.049,0.700,0.049,0.707,0.049,0.700,0.049,0.700,0.049
730,1.952,1.233,0.155,0.065,0.698,0.049,0.696,0.050,0.698,0.049,0.698,0.049,0.705,0.049,0.698,0.049,0.698,0.049
740,1.962,0.965,0.170,0.068,0.695,0.048,0.694,0.049,0.695,0.048,0.695,0.048,0.702,0.048,0.695,0.048,0.695,0.048
750,2.112,0.785,0.178,0.072,0.694,0.049,0.693,0.049,0.694,0.049,0.694,0.049,0.701,0.048,0.694,0.049,0.694,0.049
760,1.942,1.021,0.174,0.080,0.694,0.048,0.693,0.049,0.694,0.048,0.694,0.048,0.701,0.048,0.694,0.048,0.694,0.049
770,2.083,1.064,0.178,0.080,0.693,0.049,0.692,0.049,0.693,0.049,0.693,0.049,0.700,0.048,0.693,0.049,0.693,0.049
780,2.709,1.174,0.192,0.081,0.692,0.049,0.691,0.050,0.692,0.049,0.692,0.049,0.700,0.049,0.692,0.049,0.692,0.049
790,2.183,1.103,0.191,0.085,0.690,0.050,0.690,0.051,0.690,0.050,0.690,0.050,0.698,0.050,0.690,0.050,0.690,0.051
