numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
57,0.117,0.018,0.015,0.004,0.558,0.056,0.557,0.055,0.558,0.056,0.558,0.056,0.564,0.055,0.558,0.056,0.558,0.056
58,0.118,0.015,0.015,0.003,0.561,0.055,0.559,0.056,0.561,0.055,0.561,0.055,0.566,0.055,0.561,0.055,0.561,0.056
59,0.122,0.017,0.016,0.003,0.560,0.054,0.557,0.054,0.560,0.054,0.560,0.054,0.564,0.053,0.560,0.054,0.560,0.054
60,0.121,0.018,0.015,0.004,0.563,0.051,0.561,0.051,0.563,0.051,0.563,0.051,0.568,0.051,0.563,0.051,0.563,0.052
61,0.120,0.017,0.015,0.004,0.557,0.052,0.555,0.053,0.557,0.052,0.557,0.052,0.562,0.053,0.557,0.052,0.557,0.053
62,0.121,0.018,0.016,0.004,0.558,0.051,0.555,0.052,0.558,0.051,0.558,0.051,0.562,0.052,0.558,0.051,0.558,0.052
63,0.123,0.017,0.016,0.004,0.564,0.050,0.562,0.050,0.564,0.050,0.564,0.050,0.569,0.050,0.564,0.050,0.564,0.050
64,0.110,0.018,0.014,0.004,0.566,0.052,0.563,0.051,0.566,0.052,0.566,0.052,0.570,0.051,0.566,0.052,0.566,0.052
65,0.111,0.017,0.015,0.004,0.565,0.050,0.562,0.050,0.565,0.050,0.565,0.050,0.569,0.050,0.565,0.050,0.565,0.050
66,0.115,0.015,0.015,0.004,0.564,0.051,0.562,0.051,0.564,0.051,0.564,0.051,0.568,0.051,0.564,0.051,0.564,0.051
67,0.111,0.017,0.015,0.004,0.580,0.050,0.578,0.050,0.580,0.050,0.580,0.050,0.585,0.050,0.580,0.050,0.580,0.051
68,0.118,0.016,0.016,0.004,0.581,0.050,0.579,0.050,0.581,0.050,0.581,0.050,0.587,0.050,0.581,0.050,0.581,0.050
69,0.116,0.019,0.016,0.004,0.583,0.050,0.581,0.050,0.583,0.050,0.583,0.050,0.590,0.051,0.583,0.050,0.583,0.050
70,0.111,0.017,0.015,0.004,0.595,0.050,0.592,0.050,0.595,0.050,0.595,0.050,0.600,0.051,0.595,0.050,0.595,0.050
71,0.112,0.017,0.016,0.004,0.602,0.048,0.601,0.048,0.602,0.048,0.602,0.048,0.608,0.049,0.602,0.048,0.602,0.048
72,0.116,0.011,0.016,0.004,0.606,0.048,0.604,0.048,0.606,0.048,0.606,0.048,0.611,0.049,0.606,0.048,0.606,0.048
