numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
120,0.058,0.010,0.011,0.002,0.627,0.051,0.625,0.052,0.627,0.051,0.627,0.051,0.635,0.053,0.627,0.051,0.627,0.051
130,0.057,0.010,0.012,0.003,0.620,0.051,0.618,0.052,0.620,0.051,0.620,0.051,0.627,0.052,0.620,0.051,0.621,0.051
140,0.059,0.008,0.011,0.002,0.623,0.056,0.619,0.056,0.623,0.056,0.623,0.056,0.628,0.057,0.623,0.056,0.623,0.056
150,0.067,0.010,0.013,0.003,0.619,0.050,0.616,0.050,0.619,0.050,0.619,0.050,0.624,0.051,0.619,0.050,0.620,0.050
160,0.070,0.012,0.013,0.003,0.619,0.054,0.616,0.054,0.619,0.054,0.619,0.054,0.625,0.055,0.619,0.054,0.619,0.054
170,0.077,0.011,0.014,0.003,0.622,0.053,0.619,0.054,0.622,0.053,0.622,0.053,0.628,0.054,0.622,0.053,0.622,0.053
180,0.076,0.014,0.013,0.003,0.621,0.053,0.618,0.053,0.621,0.053,0.621,0.053,0.627,0.053,0.621,0.053,0.621,0.053
190,0.089,0.013,0.015,0.004,0.631,0.053,0.628,0.054,0.631,0.053,0.631,0.053,0.638,0.054,0.631,0.053,0.631,0.053
200,0.083,0.017,0.014,0.004,0.633,0.052,0.631,0.053,0.633,0.052,0.633,0.052,0.641,0.052,0.633,0.052,0.634,0.052
210,0.080,0.016,0.015,0.004,0.631,0.052,0.628,0.053,0.631,0.052,0.631,0.052,0.637,0.052,0.631,0.052,0.631,0.052
220,0.105,0.020,0.017,0.005,0.629,0.054,0.626,0.054,0.629,0.054,0.629,0.054,0.636,0.054,0.629,0.054,0.629,0.054
230,0.100,0.018,0.017,0.004,0.628,0.052,0.626,0.053,0.628,0.052,0.628,0.052,0.635,0.052,0.628,0.052,0.628,0.052
240,0.105,0.029,0.017,0.006,0.640,0.051,0.638,0.051,0.640,0.051,0.640,0.051,0.647,0.051,0.640,0.051,0.641,0.051
250,0.115,0.023,0.018,0.005,0.643,0.049,0.641,0.050,0.643,0.049,0.643,0.049,0.650,0.049,0.643,0.049,0.643,0.049
260,0.117,0.032,0.019,0.007,0.641,0.049,0.639,0.050,0.641,0.049,0.641,0.049,0.648,0.050,0.641,0.049,0.641,0.049
270,0.119,0.034,0.018,0.007,0.641,0.048,0.639,0.048,0.641,0.048,0.641,0.048,0.648,0.048,0.641,0.048,0.641,0.048
280,0.122,0.036,0.019,0.008,0.639,0.049,0.637,0.050,0.639,0.049,0.639,0.049,0.646,0.049,0.639,0.049,0.639,0.049
290,0.127,0.036,0.020,0.008,0.642,0.049,0.640,0.049,0.642,0.049,0.642,0.049,0.649,0.049,0.642,0.049,0.642,0.049
300,0.145,0.042,0.023,0.011,0.653,0.049,0.652,0.050,0.653,0.049,0.653,0.049,0.660,0.050,0.653,0.049,0.653,0.049
