numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
16,0.051,0.008,0.011,0.003,0.617,0.049,0.614,0.050,0.617,0.049,0.617,0.049,0.630,0.052,0.617,0.049,0.617,0.048
17,0.049,0.008,0.011,0.002,0.618,0.052,0.614,0.054,0.618,0.052,0.618,0.052,0.630,0.054,0.618,0.052,0.618,0.052
18,0.054,0.009,0.012,0.003,0.617,0.048,0.614,0.049,0.617,0.048,0.617,0.048,0.628,0.049,0.617,0.048,0.617,0.048
19,0.060,0.009,0.013,0.003,0.611,0.051,0.608,0.052,0.611,0.051,0.611,0.051,0.621,0.051,0.611,0.051,0.611,0.051
20,0.060,0.008,0.013,0.003,0.610,0.050,0.607,0.052,0.610,0.050,0.610,0.050,0.620,0.051,0.610,0.050,0.611,0.050
21,0.062,0.009,0.012,0.003,0.612,0.048,0.610,0.049,0.612,0.048,0.612,0.048,0.622,0.046,0.612,0.048,0.612,0.048
22,0.060,0.012,0.012,0.004,0.613,0.047,0.611,0.048,0.613,0.047,0.613,0.047,0.623,0.045,0.613,0.047,0.613,0.047
23,0.060,0.012,0.012,0.003,0.615,0.047,0.613,0.048,0.615,0.047,0.615,0.047,0.623,0.046,0.615,0.047,0.615,0.047
24,0.063,0.011,0.012,0.003,0.614,0.047,0.612,0.047,0.614,0.047,0.614,0.047,0.624,0.046,0.614,0.047,0.614,0.047
25,0.067,0.011,0.012,0.003,0.609,0.048,0.607,0.049,0.609,0.048,0.609,0.048,0.619,0.048,0.609,0.048,0.609,0.048
26,0.065,0.012,0.012,0.003,0.610,0.047,0.607,0.048,0.610,0.047,0.610,0.047,0.619,0.047,0.610,0.047,0.610,0.047
27,0.071,0.011,0.014,0.003,0.605,0.047,0.602,0.048,0.605,0.047,0.605,0.047,0.615,0.047,0.605,0.047,0.605,0.047
28,0.072,0.012,0.013,0.003,0.613,0.047,0.611,0.048,0.613,0.047,0.613,0.047,0.624,0.048,0.613,0.047,0.613,0.047
29,0.077,0.013,0.014,0.003,0.609,0.045,0.607,0.047,0.609,0.045,0.609,0.045,0.619,0.047,0.609,0.045,0.610,0.045
30,0.075,0.012,0.014,0.003,0.613,0.049,0.610,0.050,0.613,0.049,0.613,0.049,0.622,0.049,0.613,0.049,0.613,0.049
31,0.079,0.013,0.014,0.003,0.614,0.047,0.611,0.048,0.614,0.047,0.614,0.047,0.622,0.046,0.614,0.047,0.614,0.047
32,0.065,0.013,0.012,0.003,0.610,0.048,0.607,0.049,0.610,0.048,0.610,0.048,0.617,0.048,0.610,0.048,0.610,0.048
33,0.071,0.011,0.013,0.003,0.609,0.050,0.606,0.051,0.609,0.050,0.609,0.050,0.616,0.051,0.609,0.050,0.609,0.050
34,0.068,0.013,0.012,0.003,0.607,0.049,0.604,0.050,0.607,0.049,0.607,0.049,0.614,0.050,0.607,0.049,0.607,0.049
35,0.075,0.013,0.013,0.003,0.618,0.049,0.616,0.049,0.618,0.049,0.618,0.049,0.625,0.049,0.618,0.049,0.618,0.049
36,0.079,0.015,0.013,0.003,0.609,0.049,0.607,0.049,0.609,0.049,0.609,0.049,0.616,0.048,0.609,0.049,0.610,0.048
37,0.078,0.014,0.013,0.003,0.612,0.049,0.609,0.049,0.612,0.049,0.612,0.049,0.619,0.049,0.612,0.049,0.612,0.049
38,0.077,0.016,0.013,0.003,0.610,0.049,0.607,0.049,0.610,0.049,0.610,0.049,0.616,0.049,0.610,0.049,0.610,0.049
39,0.083,0.014,0.014,0.003,0.610,0.048,0.608,0.048,0.610,0.048,0.610,0.048,0.617,0.048,0.610,0.048,0.611,0.048
40,0.079,0.013,0.014,0.003,0.605,0.048,0.603,0.049,0.605,0.048,0.605,0.048,0.611,0.048,0.605,0.048,0.605,0.048
41,0.082,0.012,0.014,0.003,0.610,0.050,0.607,0.051,0.610,0.050,0.610,0.050,0.616,0.051,0.610,0.050,0.610,0.050
42,0.082,0.013,0.014,0.003,0.605,0.049,0.602,0.050,0.605,0.049,0.605,0.049,0.611,0.051,0.605,0.049,0.605,0.050
43,0.086,0.015,0.014,0.003,0.605,0.049,0.603,0.050,0.605,0.049,0.605,0.049,0.612,0.050,0.605,0.049,0.605,0.049
44,0.092,0.012,0.015,0.003,0.606,0.049,0.603,0.050,0.606,0.049,0.606,0.049,0.612,0.050,0.606,0.049,0.606,0.049
45,0.086,0.015,0.014,0.003,0.601,0.047,0.599,0.048,0.601,0.047,0.601,0.047,0.608,0.048,0.601,0.047,0.602,0.047
46,0.093,0.013,0.015,0.003,0.604,0.049,0.601,0.050,0.604,0.049,0.604,0.049,0.610,0.051,0.604,0.049,0.604,0.049
47,0.097,0.015,0.015,0.003,0.594,0.050,0.591,0.051,0.594,0.050,0.594,0.050,0.600,0.050,0.594,0.050,0.594,0.050
48,0.084,0.016,0.013,0.003,0.593,0.049,0.590,0.051,0.593,0.049,0.593,0.049,0.599,0.050,0.593,0.049,0.593,0.050
49,0.086,0.016,0.014,0.003,0.592,0.048,0.589,0.049,0.592,0.048,0.592,0.048,0.598,0.049,0.592,0.048,0.592,0.048
50,0.090,0.014,0.014,0.003,0.598,0.051,0.595,0.051,0.598,0.051,0.598,0.051,0.605,0.052,0.598,0.051,0.598,0.051
51,0.084,0.017,0.013,0.003,0.600,0.048,0.598,0.048,0.600,0.048,0.600,0.048,0.607,0.049,0.600,0.048,0.600,0.048
52,0.092,0.017,0.014,0.003,0.597,0.049,0.595,0.049,0.597,0.049,0.597,0.049,0.604,0.050,0.597,0.049,0.597,0.049
53,0.090,0.018,0.014,0.003,0.605,0.050,0.603,0.050,0.605,0.050,0.605,0.050,0.612,0.050,0.605,0.050,0.605,0.050
54,0.092,0.016,0.015,0.004,0.603,0.050,0.601,0.050,0.603,0.050,0.603,0.050,0.610,0.051,0.603,0.050,0.603,0.050
55,0.098,0.015,0.014,0.003,0.609,0.049,0.607,0.048,0.609,0.049,0.609,0.049,0.617,0.049,0.609,0.049,0.609,0.049
56,0.097,0.017,0.014,0.004,0.612,0.044,0.610,0.045,0.612,0.044,0.612,0.044,0.619,0.044,0.612,0.044,0.612,0.044
57,0.100,0.017,0.015,0.004,0.612,0.043,0.610,0.043,0.612,0.043,0.612,0.043,0.619,0.043,0.612,0.043,0.612,0.043
58,0.103,0.018,0.015,0.004,0.612,0.045,0.610,0.045,0.612,0.045,0.612,0.045,0.619,0.046,0.612,0.045,0.612,0.045
59,0.105,0.016,0.016,0.003,0.618,0.047,0.617,0.047,0.618,0.047,0.618,0.047,0.626,0.048,0.618,0.047,0.619,0.047
60,0.101,0.018,0.015,0.004,0.628,0.049,0.626,0.049,0.628,0.049,0.628,0.049,0.635,0.050,0.628,0.049,0.628,0.049
61,0.109,0.015,0.015,0.004,0.620,0.047,0.619,0.046,0.620,0.047,0.620,0.047,0.629,0.047,0.620,0.047,0.620,0.047
62,0.107,0.016,0.015,0.004,0.620,0.047,0.619,0.047,0.620,0.047,0.620,0.047,0.630,0.047,0.620,0.047,0.621,0.048
63,0.109,0.017,0.016,0.004,0.618,0.047,0.617,0.047,0.618,0.047,0.618,0.047,0.626,0.048,0.618,0.047,0.618,0.048
64,0.096,0.017,0.014,0.004,0.616,0.050,0.615,0.049,0.616,0.050,0.616,0.050,0.625,0.050,0.616,0.050,0.616,0.050
65,0.102,0.016,0.015,0.004,0.615,0.049,0.613,0.049,0.615,0.049,0.615,0.049,0.622,0.049,0.615,0.049,0.615,0.049
66,0.100,0.018,0.015,0.004,0.617,0.050,0.615,0.050,0.617,0.050,0.617,0.050,0.624,0.051,0.617,0.050,0.617,0.050
67,0.105,0.015,0.015,0.004,0.615,0.049,0.613,0.049,0.615,0.049,0.615,0.049,0.621,0.050,0.615,0.049,0.615,0.049
68,0.106,0.014,0.016,0.004,0.612,0.049,0.610,0.049,0.612,0.049,0.612,0.049,0.619,0.050,0.612,0.049,0.612,0.049
69,0.109,0.015,0.015,0.004,0.617,0.048,0.616,0.048,0.617,0.048,0.617,0.048,0.625,0.050,0.617,0.048,0.617,0.049
70,0.111,0.013,0.016,0.003,0.619,0.045,0.617,0.045,0.619,0.045,0.619,0.045,0.627,0.046,0.619,0.045,0.619,0.045
71,0.110,0.014,0.015,0.004,0.617,0.046,0.615,0.047,0.617,0.046,0.617,0.046,0.624,0.048,0.617,0.046,0.617,0.047
72,0.105,0.016,0.016,0.004,0.618,0.049,0.616,0.049,0.618,0.049,0.618,0.049,0.625,0.050,0.618,0.049,0.618,0.049
73,0.111,0.014,0.016,0.004,0.617,0.049,0.615,0.049,0.617,0.049,0.617,0.049,0.624,0.050,0.617,0.049,0.617,0.049
74,0.113,0.014,0.017,0.004,0.616,0.049,0.614,0.049,0.616,0.049,0.616,0.049,0.624,0.049,0.616,0.049,0.616,0.049
75,0.113,0.016,0.016,0.004,0.611,0.049,0.610,0.049,0.611,0.049,0.611,0.049,0.619,0.049,0.611,0.049,0.611,0.049
76,0.108,0.016,0.016,0.004,0.621,0.048,0.620,0.048,0.621,0.048,0.621,0.048,0.628,0.048,0.621,0.048,0.622,0.048
77,0.116,0.012,0.016,0.004,0.629,0.047,0.627,0.048,0.629,0.047,0.629,0.047,0.635,0.048,0.629,0.047,0.629,0.047
78,0.116,0.012,0.017,0.004,0.629,0.045,0.627,0.046,0.629,0.045,0.629,0.045,0.634,0.045,0.629,0.045,0.629,0.046
